,지수
1063,99.33
1064,99.33
1065,98.988
1066,98.988
1067,98.988
1068,98.988
1069,98.988
1070,98.988
1071,98.988
1072,98.988
1073,98.988
1074,98.988
1075,98.988
1076,98.988
1077,98.988
1078,98.988
1079,98.988
1080,98.988
1081,98.988
1082,98.988
1083,98.988
1084,98.988
1085,98.988
1086,98.988
1087,98.988
1088,98.988
1089,98.988
1090,98.988
1091,98.988
1092,98.988
1093,98.988
1094,98.988
1095,98.988
1096,98.884
1097,98.884
1098,98.884
1099,98.884
1100,98.884
1101,98.884
1102,98.884
1103,98.884
1104,98.884
1105,98.884
1106,98.884
1107,98.884
1108,98.884
1109,98.884
1110,98.884
1111,98.884
1112,98.884
1113,98.884
1114,98.884
1115,98.884
1116,98.884
1117,98.884
1118,98.884
1119,98.884
1120,98.884
1121,98.884
1122,98.884
1123,98.884
1124,98.884
1125,98.884
1126,98.884
1127,99.311
1128,99.311
1129,99.311
1130,99.311
1131,99.311
1132,99.311
1133,99.311
1134,99.311
1135,99.311
1136,99.311
1137,99.311
1138,99.311
1139,99.311
1140,99.311
1141,99.311
1142,99.311
1143,99.311
1144,99.311
1145,99.311
1146,99.311
1147,99.311
1148,99.311
1149,99.311
1150,99.311
1151,99.311
1152,99.311
1153,99.311
1154,99.311
1155,99.121
1156,99.121
1157,99.121
1158,99.121
1159,99.121
1160,99.121
1161,99.121
1162,99.121
1163,99.121
1164,99.121
1165,99.121
1166,99.121
1167,99.121
1168,99.121
1169,99.121
1170,99.121
1171,99.121
1172,99.121
1173,99.121
1174,99.121
1175,99.121
1176,99.121
1177,99.121
1178,99.121
1179,99.121
1180,99.121
1181,99.121
1182,99.121
1183,99.121
1184,99.121
1185,99.121
1186,99.481
1187,99.481
1188,99.481
1189,99.481
1190,99.481
1191,99.481
1192,99.481
1193,99.481
1194,99.481
1195,99.481
1196,99.481
1197,99.481
1198,99.481
1199,99.481
1200,99.481
1201,99.481
1202,99.481
1203,99.481
1204,99.481
1205,99.481
1206,99.481
1207,99.481
1208,99.481
1209,99.481
1210,99.481
1211,99.481
1212,99.481
1213,99.481
1214,99.481
1215,99.481
1216,99.652
1217,99.652
1218,99.652
1219,99.652
1220,99.652
1221,99.652
1222,99.652
1223,99.652
1224,99.652
1225,99.652
1226,99.652
1227,99.652
1228,99.652
1229,99.652
1230,99.652
1231,99.652
1232,99.652
1233,99.652
1234,99.652
1235,99.652
1236,99.652
1237,99.652
1238,99.652
1239,99.652
1240,99.652
1241,99.652
1242,99.652
1243,99.652
1244,99.652
1245,99.652
1246,99.652
1247,99.491
1248,99.491
1249,99.491
1250,99.491
1251,99.491
1252,99.491
1253,99.491
1254,99.491
1255,99.491
1256,99.491
1257,99.491
1258,99.491
1259,99.491
1260,99.491
1261,99.491
1262,99.491
1263,99.491
1264,99.491
1265,99.491
1266,99.491
1267,99.491
1268,99.491
1269,99.491
