구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2016년09월29일,1758.28,1406.86,1201.05,782.11
2016년09월30일,1758.50,1406.79,1200.91,782.66
2016년10월01일,1758.68,1406.78,1200.72,783.44
2016년10월02일,1758.71,1406.77,1200.40,783.43
2016년10월03일,1758.06,1406.78,1200.57,783.51
2016년10월04일,1758.12,1406.71,1200.82,783.19
2016년10월05일,1757.47,1406.62,1200.52,783.08
2016년10월06일,1760.25,1406.82,1200.78,782.91
2016년10월07일,1760.33,1407.26,1201.31,782.72
2016년10월08일,1760.86,1407.80,1201.57,782.76
2016년10월09일,1760.37,1408.11,1201.75,783.00
2016년10월10일,1760.97,1408.67,1202.61,784.12
2016년10월11일,1763.73,1411.26,1205.67,785.16
2016년10월12일,1765.23,1412.68,1207.19,786.07
2016년10월13일,1766.28,1413.89,1208.51,787.18
2016년10월14일,1766.69,1414.86,1209.50,788.08
2016년10월15일,1766.56,1415.71,1210.19,788.76
2016년10월16일,1766.93,1416.26,1210.47,789.10
2016년10월17일,1767.25,1417.09,1211.74,789.77
2016년10월18일,1770.35,1418.95,1213.44,790.57
2016년10월19일,1770.92,1419.89,1214.69,791.35
2016년10월20일,1771.71,1420.88,1215.80,791.88
2016년10월21일,1773.61,1421.90,1216.78,792.54
2016년10월22일,1774.54,1422.82,1217.66,793.56
2016년10월23일,1775.50,1423.33,1217.98,793.69
2016년10월24일,1775.56,1424.17,1219.20,794.23
2016년10월25일,1776.19,1425.40,1220.43,794.45
2016년10월26일,1776.90,1426.18,1221.50,795.24
2016년10월27일,1776.77,1426.75,1222.08,795.60
2016년10월28일,1774.87,1427.18,1222.37,796.04
2016년10월29일,1774.30,1427.45,1222.68,797.00
2016년10월30일,1772.59,1427.64,1222.79,797.37
2016년10월31일,1772.95,1428.00,1223.48,798.27
2016년11월01일,1773.84,1428.72,1224.29,799.50
2016년11월02일,1775.24,1428.98,1224.76,800.42
2016년11월03일,1777.30,1429.12,1224.86,800.47
2016년11월04일,1777.28,1429.26,1224.96,801.00
2016년11월05일,1777.32,1429.27,1224.94,801.18
2016년11월06일,1777.93,1429.37,1224.70,801.29
2016년11월07일,1779.20,1429.45,1225.20,801.38
2016년11월08일,1773.07,1428.99,1224.63,800.97
2016년11월09일,1772.90,1428.81,1224.50,800.92
2016년11월10일,1773.76,1428.61,1224.44,800.92
2016년11월11일,1772.76,1428.44,1224.23,800.80
2016년11월12일,1771.14,1428.20,1223.90,800.81
2016년11월13일,1770.12,1428.15,1223.65,800.61
2016년11월14일,1770.41,1428.08,1223.89,800.57
2016년11월15일,1767.06,1427.23,1223.02,800.37
