,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1231,2019년 5월 16일,21.9,31.3,14.0,5.1,0.0,17.3
1232,2019년 5월 17일,21.5,28.9,11.8,7.6,0.0,17.099999999999998
1233,2019년 5월 18일,17.7,20.9,16.5,8.0,12.0,4.399999999999999
1234,2019년 5월 19일,19.6,23.9,16.4,8.3,1.0,7.5
1235,2019년 5월 20일,18.8,23.6,13.6,8.0,1.0,10.000000000000002
1236,2019년 5월 21일,17.8,26.3,9.9,0.0,0.0,16.4
1237,2019년 5월 22일,19.6,30.1,7.1,0.0,0.0,23.0
1238,2019년 5월 23일,21.2,31.5,10.5,0.7,0.0,21.0
1239,2019년 5월 24일,24.0,35.6,10.6,0.1,0.0,25.0
1240,2019년 5월 25일,24.9,32.9,16.0,7.1,0.0,16.9
1241,2019년 5월 26일,24.2,33.3,15.3,5.6,0.0,17.999999999999996
1242,2019년 5월 27일,20.9,23.0,17.7,9.8,8.0,5.300000000000001
1243,2019년 5월 28일,19.3,24.9,14.6,3.8,0.0,10.299999999999999
1244,2019년 5월 29일,21.8,30.7,9.8,0.8,0.0,20.9
1245,2019년 5월 30일,23.6,31.6,13.7,6.0,0.0,17.900000000000002
1246,2019년 5월 31일,20.3,26.5,14.8,5.5,1.0,11.7
1247,2019년 6월 1일,20.6,27.9,12.5,6.3,0.0,15.399999999999999
1248,2019년 6월 2일,21.8,30.8,11.8,3.5,0.0,19.0
1249,2019년 6월 3일,24.0,33.2,13.0,0.3,0.0,20.200000000000003
1250,2019년 6월 4일,25.8,35.5,15.5,0.0,0.0,20.0
1251,2019년 6월 5일,25.3,34.3,17.9,1.6,0.0,16.4
1252,2019년 6월 6일,24.2,32.6,17.2,8.9,8.5,15.400000000000002
1253,2019년 6월 7일,19.0,21.6,17.6,7.5,21.5,4.0
1254,2019년 6월 8일,19.9,25.3,16.3,6.8,0.0,9.0
1255,2019년 6월 9일,18.1,21.9,14.1,6.9,0.0,7.799999999999999
1256,2019년 6월 10일,18.3,23.2,14.4,7.6,0.0,8.799999999999999
1257,2019년 6월 11일,18.9,24.2,13.8,6.4,0.0,10.399999999999999
1258,2019년 6월 12일,20.0,26.5,16.2,3.0,0.0,10.3
1259,2019년 6월 13일,21.6,30.0,12.5,3.6,0.0,17.5
1260,2019년 6월 14일,18.9,23.0,15.1,9.8,0.5,7.9
1261,2019년 6월 15일,20.6,29.4,16.2,7.0,13.0,13.2
1262,2019년 6월 16일,19.7,26.9,14.8,5.1,0.0,12.099999999999998
1263,2019년 6월 17일,23.5,30.2,16.7,6.6,0.0,13.5
1264,2019년 6월 18일,23.2,30.4,16.7,6.5,0.1,13.7
1265,2019년 6월 19일,24.1,29.9,18.0,5.4,0.0,11.899999999999999
1266,2019년 6월 20일,26.8,33.3,19.0,4.0,0.0,14.299999999999997
1267,2019년 6월 21일,24.2,32.8,18.4,5.3,9.0,14.399999999999999
1268,2019년 6월 22일,20.9,25.8,17.1,6.4,0.0,8.7
1269,2019년 6월 23일,20.1,26.1,13.5,3.6,0.0,12.600000000000001
1270,2019년 6월 24일,21.8,28.6,15.4,3.1,0.0,13.200000000000001
1271,2019년 6월 25일,23.8,31.7,15.9,2.4,0.0,15.799999999999999
1272,2019년 6월 26일,19.9,24.0,16.6,9.4,77.0,7.399999999999999
1273,2019년 6월 27일,24.2,30.0,21.5,8.9,67.0,8.5
1274,2019년 6월 28일,22.1,24.3,20.9,9.0,4.0,3.400000000000002
1275,2019년 6월 29일,21.3,22.5,20.6,8.6,41.5,1.8999999999999986
1276,2019년 6월 30일,25.3,31.4,21.0,7.4,0.0,10.399999999999999
1277,2019년 7월 1일,23.4,27.3,19.4,7.6,0.0,7.900000000000002
1278,2019년 7월 2일,24.3,31.3,17.1,4.0,0.0,14.2
1279,2019년 7월 3일,23.8,30.3,17.8,6.5,0.0,12.5
1280,2019년 7월 4일,24.7,32.7,17.5,3.6,0.0,15.200000000000003
1281,2019년 7월 5일,25.1,32.2,18.4,4.3,0.0,13.800000000000004
1282,2019년 7월 6일,23.3,29.2,16.4,1.8,0.0,12.8
1283,2019년 7월 7일,22.5,27.1,19.7,7.6,0.2,7.400000000000002
1284,2019년 7월 8일,21.7,26.1,18.4,8.6,0.0,7.700000000000003
1285,2019년 7월 9일,21.1,25.7,17.3,7.8,0.0,8.399999999999999
1286,2019년 7월 10일,22.0,23.1,20.1,8.5,17.5,3.0
1287,2019년 7월 11일,24.0,27.6,21.2,7.3,1.0,6.400000000000002
1288,2019년 7월 12일,24.5,29.7,21.1,8.0,0.0,8.599999999999998
1289,2019년 7월 13일,24.0,29.2,19.5,7.8,0.0,9.7
1290,2019년 7월 14일,24.1,29.0,20.0,6.5,0.0,9.0
1291,2019년 7월 15일,23.1,26.4,20.9,8.8,1.0,5.5
1292,2019년 7월 16일,24.0,28.9,20.8,7.4,1.0,8.099999999999998
1293,2019년 7월 17일,24.1,29.1,18.7,8.1,0.0,10.400000000000002
1294,2019년 7월 18일,24.3,28.6,21.6,9.3,5.5,7.0
1295,2019년 7월 19일,24.5,27.8,21.7,9.8,2.5,6.100000000000001
1296,2019년 7월 20일,24.9,27.2,23.8,9.6,60.5,3.3999999999999986
1297,2019년 7월 21일,25.6,28.5,23.5,7.8,11.5,5.0
1298,2019년 7월 22일,28.2,34.0,23.1,6.3,0.0,10.899999999999999
1299,2019년 7월 23일,30.0,35.3,24.3,7.1,0.0,10.999999999999996
1300,2019년 7월 24일,28.2,31.6,25.5,8.0,0.0,6.100000000000001
1301,2019년 7월 25일,26.7,29.5,23.9,9.1,5.0,5.600000000000001
