,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
230,2016년 8월 18일,29.6,35.1,25.4,7.3,0.0,9.700000000000003
231,2016년 8월 19일,30.0,34.2,26.2,7.6,0.0,8.000000000000004
232,2016년 8월 20일,30.6,35.4,27.6,6.6,0.0,7.799999999999997
233,2016년 8월 21일,30.5,36.5,27.6,5.5,0.0,8.899999999999999
234,2016년 8월 22일,29.3,35.1,25.1,3.3,0.0,10.0
235,2016년 8월 23일,28.9,33.6,26.3,7.1,0.3,7.300000000000001
236,2016년 8월 24일,29.2,33.8,25.9,5.3,0.0,7.899999999999999
237,2016년 8월 25일,27.9,34.0,24.0,5.5,0.0,10.0
238,2016년 8월 26일,22.6,26.4,20.2,5.8,17.0,6.199999999999999
239,2016년 8월 27일,23.5,29.1,17.1,4.8,0.0,12.0
240,2016년 8월 28일,21.3,24.3,18.8,7.9,0.3,5.5
241,2016년 8월 29일,21.9,28.6,17.1,5.0,0.0,11.5
242,2016년 8월 30일,21.0,25.5,16.1,6.1,0.0,9.399999999999999
243,2016년 8월 31일,18.8,22.0,16.6,9.3,55.1,5.399999999999999
244,2016년 9월 1일,23.7,29.8,16.3,4.1,0.0,13.5
245,2016년 9월 2일,24.1,29.2,19.6,7.3,0.8,9.599999999999998
246,2016년 9월 3일,24.3,29.7,21.1,6.0,0.0,8.599999999999998
247,2016년 9월 4일,26.2,30.4,21.4,7.9,0.0,9.0
248,2016년 9월 5일,26.6,31.5,22.7,4.3,0.0,8.8
249,2016년 9월 6일,24.1,29.0,20.2,6.9,0.0,8.8
250,2016년 9월 7일,23.8,28.5,20.7,6.9,0.0,7.800000000000001
251,2016년 9월 8일,22.7,27.1,20.7,8.8,29.1,6.400000000000002
252,2016년 9월 9일,23.1,28.2,20.1,6.0,0.0,8.099999999999998
253,2016년 9월 10일,23.5,28.4,19.1,6.6,0.0,9.299999999999997
254,2016년 9월 11일,23.9,27.8,20.6,7.8,0.0,7.199999999999999
255,2016년 9월 12일,24.5,28.9,21.4,4.4,0.0,7.5
256,2016년 9월 13일,24.3,29.7,20.5,5.6,0.0,9.2
257,2016년 9월 14일,23.6,28.9,19.3,5.9,0.0,9.599999999999998
258,2016년 9월 15일,23.0,28.4,18.1,9.0,0.0,10.299999999999997
259,2016년 9월 16일,23.5,28.2,19.4,9.4,0.0,8.8
260,2016년 9월 17일,21.9,26.6,19.1,7.1,26.6,7.5
261,2016년 9월 18일,23.4,28.8,20.6,7.0,0.0,8.2
262,2016년 9월 19일,21.6,27.3,17.4,3.3,0.0,9.900000000000002
263,2016년 9월 20일,20.3,26.0,15.1,0.5,0.0,10.9
264,2016년 9월 21일,19.4,24.1,14.1,5.8,0.0,10.000000000000002
265,2016년 9월 22일,21.1,26.5,17.3,4.1,0.0,9.2
266,2016년 9월 23일,20.8,27.6,15.4,1.4,0.0,12.200000000000001
267,2016년 9월 24일,21.6,28.3,16.1,2.6,0.0,12.2
268,2016년 9월 25일,21.9,28.3,17.2,8.0,0.0,11.100000000000001
269,2016년 9월 26일,23.0,27.1,18.9,8.3,0.0,8.200000000000003
270,2016년 9월 27일,21.1,23.5,19.0,9.9,11.3,4.5
271,2016년 9월 28일,20.4,23.3,18.5,9.8,0.0,4.800000000000001
272,2016년 9월 29일,20.3,24.0,18.4,8.9,0.0,5.600000000000001
273,2016년 9월 30일,20.1,23.5,17.8,9.1,0.0,5.699999999999999
274,2016년 10월 1일,20.3,24.5,17.5,8.1,0.0,7.0
275,2016년 10월 2일,19.1,21.7,16.8,9.6,16.7,4.899999999999999
276,2016년 10월 3일,22.7,28.2,17.6,4.6,3.3,10.599999999999998
277,2016년 10월 4일,22.0,28.9,13.9,1.5,0.0,14.999999999999998
278,2016년 10월 5일,20.6,26.8,17.0,3.8,3.0,9.8
279,2016년 10월 6일,17.7,24.0,13.6,1.8,0.0,10.4
280,2016년 10월 7일,19.1,24.7,14.3,8.3,18.0,10.399999999999999
281,2016년 10월 8일,17.4,22.7,11.6,5.6,20.5,11.1
282,2016년 10월 9일,11.8,17.0,7.5,2.4,0.0,9.5
283,2016년 10월 10일,12.9,21.3,7.0,4.6,0.0,14.3
284,2016년 10월 11일,14.7,21.3,9.7,4.1,0.0,11.600000000000001
285,2016년 10월 12일,15.3,20.9,11.3,5.4,0.0,9.599999999999998
286,2016년 10월 13일,14.2,21.9,8.2,5.0,0.0,13.7
287,2016년 10월 14일,15.5,23.6,9.0,0.0,0.0,14.600000000000001
288,2016년 10월 15일,17.9,26.8,11.1,3.9,0.0,15.700000000000001
289,2016년 10월 16일,17.0,19.5,15.4,9.3,2.1,4.1
290,2016년 10월 17일,17.5,22.8,14.3,6.5,0.0,8.5
291,2016년 10월 18일,15.0,21.5,10.8,4.4,0.0,10.7
292,2016년 10월 19일,16.7,24.6,11.4,0.8,0.0,13.200000000000001
293,2016년 10월 20일,17.4,25.1,10.8,2.9,0.0,14.3
294,2016년 10월 21일,17.6,19.8,16.4,9.8,0.0,3.400000000000002
295,2016년 10월 22일,17.8,21.8,14.6,8.1,0.0,7.200000000000001
296,2016년 10월 23일,13.6,17.9,10.1,8.4,3.5,7.799999999999999
297,2016년 10월 24일,15.1,19.6,8.1,4.9,0.0,11.500000000000002
298,2016년 10월 25일,13.9,19.0,11.0,6.4,30.7,8.0
299,2016년 10월 26일,12.5,16.6,8.7,4.3,0.0,7.900000000000002
300,2016년 10월 27일,14.5,19.8,8.6,6.4,0.0,11.200000000000001
301,2016년 10월 28일,14.5,17.7,11.2,8.3,1.3,6.5
302,2016년 10월 29일,8.5,13.0,3.9,6.9,0.0,9.1
303,2016년 10월 30일,7.1,15.5,0.0,0.8,0.0,15.5
304,2016년 10월 31일,6.6,10.2,1.8,7.8,0.0,8.399999999999999
305,2016년 11월 1일,2.4,8.1,-1.2,0.0,0.0,9.299999999999999
306,2016년 11월 2일,4.1,10.9,-2.7,2.4,0.7,13.600000000000001
307,2016년 11월 3일,8.3,14.8,3.8,4.1,0.4,11.0
308,2016년 11월 4일,11.5,16.5,4.7,6.5,0.0,11.8
309,2016년 11월 5일,14.2,20.0,9.7,7.1,0.0,10.3
310,2016년 11월 6일,14.8,19.1,11.9,7.1,0.0,7.200000000000001
311,2016년 11월 7일,13.5,18.6,8.9,8.8,2.9,9.700000000000001
312,2016년 11월 8일,5.3,9.2,0.4,2.8,0.3,8.799999999999999
313,2016년 11월 9일,2.8,9.5,-2.3,2.0,0.0,11.8
314,2016년 11월 10일,6.8,11.5,1.1,9.0,0.3,10.4
